County,Company Name,Phone,Website
"Leitrim","Oxigen Environmental Unlimited Company","0818 694 440","https://www.oxigen.ie/"
"Leitrim","Panda Green","01 8298992","https://www.panda.ie/household/"
"Leitrim","The Binman","086 3517273",""
"Leitrim","Barna Recycling","091 771 623","https://www.barnarecycling.com"
"Leitrim","Donegal Waste & Recycle","074 974 0132","https://www.donegalwasteandrecycle.com"
"Limerick","KWD Recycling","1850 373 737","https://www.kwd.ie"
"Limerick","Mr Binman","061 351 132","https://www.mrbinman.com"
"Limerick","Panda Green","01 8298992","https://www.panda.ie/household/"
"Limerick","Whites Skip Hire","063 849 71","https://www.whitesskiphire.ie"
"Limerick","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Limerick","Clean Ireland Recycling","1890 361 803","https://www.cleanireland.ie"
"Limerick","Country Clean Recycling Unlimited Company","022 468 51","https://www.countryclean.ie"
"Limerick","Higgins Waste & Recycling Services Ltd (Limerick)","066 7123 059","https://www.higginswaste.com"
"Longford","Allied Recycling","046 9433366","https://www.alliedrecycling.ie"
"Longford","Mulleadys Ltd","043 3324 130","https://www.mulleadys.com"
"Longford","Oxigen Environmental Unlimited Company","0818 694 441","https://www.oxigen.ie/"
"Longford","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Longford","CMS Waste Disposal Ltd","087 835 5181",""
"Louth","McElvaney's Waste & Recycling and Ace Environmental","047 808 90","https://www.mcelvaneywaste.com"
"Louth","Oxigen Environmental Unlimited Company","0818 694 442","https://www.oxigen.ie/"
"Louth","Panda Green","01 8298992","https://www.panda.ie/household/"
"Louth","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Louth","Ecological Waste Management Ltd","042 9370152","https://www.ecological.ie"
"Mayo","Loftus Recycling","096 325 00","https://www.loftusrecycling.com"
"Mayo","McGrath Industrial Waste Ltd.","094 9031 315","https://www.mcgrathwaste.ie"
"Mayo","Panda Green","01 8298992","https://www.panda.ie/household/"
"Mayo","Sweeney Recycling","094 9023 525",""
"Mayo","The Binman","086 3517275",""
"Mayo","Ballinrobe Waste Disposal Ltd.","094 954 1847 / 094 952 1836","https://www.ballinrobewaste.ie/"
"Mayo","Barna Recycling","091 771 624","https://www.barnarecycling.com"
"Mayo","Bourke Waste Removal Limited","098 268 82","https://www.bourkewaste.ie"
"Meath","Mulleadys Ltd","043 3324 131","https://www.mulleadys.com"
"Meath","Oxigen Environmental Unlimited Company","0818 694 443","https://www.oxigen.ie/"
"Meath","Panda Green","01 8298992","https://www.panda.ie/household/"
"Meath","Thorntons Recycling","01 6235 139","https://www.thorntons-recycling.ie"
"Meath","Advanced Waste Recycling","01 401 1930","https://www.advancedwaste.ie/"
"Meath","Allied Recycling","046 943 3366","http://www.alliedrecycling.ie"
"Meath","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Monaghan","Mahony's Environmental Cleansing Ltd","047 81 164",""
"Monaghan","McElvaney's Waste & Recycling and Ace Environmental","047 808 92","https://www.mcelvaneywaste.com"
"Monaghan","Oxigen Environmental Unlimited Company","0818 694 444","https://www.oxigen.ie/"
"Monaghan","The Binman","086 3517276",""
"Monaghan","Blue Dolphin Environmental Ltd","047 577 86","https://www.bluedolphinrecycling.ie"
"Monaghan","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Monaghan","Ecological Waste Management Ltd","042 9370152","https://www.ecological.ie"
"Offaly","Oxigen Environmental Unlimited Company","0818 694 445","https://www.oxigen.ie/"
"Offaly","Ryan Brothers Waste Recycling Services","0504 21660","https://www.ryanbros.ie/"
"Offaly","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Offaly","Clean Ireland Recycling","1890 361 804","https://www.cleanireland.ie"
"Roscommon","Mulleadys Ltd","043 3324 132","https://www.mulleadys.com"
"Roscommon","Oxigen Environmental Unlimited Company","0818 694 446","https://www.oxigen.ie/"
"Roscommon","Panda Green","01 8298992","https://www.panda.ie/household/"
"Roscommon","The Binman","086 3517277",""
"Roscommon","Barna Recycling","091 771 626","https://www.barnarecycling.com"
"Roscommon","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Sligo","Loftus Recycling","096 325 00","https://www.loftusrecycling.com"
"Sligo","McGrath Industrial Waste Ltd.","094 9031 316","https://www.mcgrathwaste.ie"
"Sligo","Panda Green","01 8298992","https://www.panda.ie/household/"
"Sligo","The Binman","086 3517278",""
"Sligo","Barna Recycling","091 771 627","https://www.barnarecycling.com"
"Sligo","Donegal Waste & Recycle","074 974 0134","https://www.donegalwasteandrecycle.com"
"Tipperary","Mr Binman","061 351 133","https://www.mrbinman.com"
"Tipperary","Panda Green","01 8298992","https://www.panda.ie/household/"
"Tipperary","Quality Recycling Ltd","051 642 336","https://www.qrl.ie/"
"Tipperary","Quality Recycling Ltd","1890 929241","https://www.qrl.ie/"
"Tipperary","Ryan Brothers Waste Recycling Services","0504 21661","https://www.ryanbros.ie/"
"Tipperary","Barna Recycling","091 771 628","https://www.barnarecycling.com"
"Tipperary","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Tipperary","CDS Waste Management","051 642 800 / 087 675 0252","https://www.cdswastemanagement.com"
"Tipperary","Clean Ireland Recycling","1890 361 805","https://www.cleanireland.ie"
"Tipperary","Country Clean Recycling Unlimited Company","022 468 52","https://www.countryclean.ie"
"Tipperary","Dungarvan Recycling Co, Wasteclear","058 48740","https://www.dungarvanrecycling.ie"
"Waterford","Kollect Developments Group Ltd","","https://www.kollect.ie"
"Waterford","Oxigen Environmental Unlimited Company","0818 694 447","https://www.oxigen.ie/"
"Waterford","Panda Green","01 8298992","https://www.panda.ie/household/"
"Waterford","Quality Recycling Ltd","051 642 337","https://www.qrl.ie/"
"Waterford","Wiser Recycling, Wiser Bins on Wheels, Wiser Bin-a-Bag","021 4630 602","https://www.wiserbins.ie"
"Waterford","Country Clean Recycling Unlimited Company","022 468 53","https://www.countryclean.ie"
"Waterford","Dungarvan Recycling Co, Wasteclear","058 48740","https://www.dungarvanrecycling.ie"
"Westmeath","Mulleadys Ltd","043 3324 133","https://www.mulleadys.com"
"Westmeath","Oxigen Environmental Unlimited Company","0818 694 448","https://www.oxigen.ie/"
"Westmeath","Panda Green","01 8298992","https://www.panda.ie/household/"
"Westmeath","Allied Recycling","046 943 3366","http://www.alliedrecycling.ie"
"Westmeath","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Westmeath","CMS Waste Disposal Ltd","087 835 5182",""
"Wexford","Panda Green","01 8298992","https://www.panda.ie/household/"
"Wexford","Ray Whelan Limited","059 9147 682","https://www.raywhelan.ie"
"Wexford","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Wicklow","Oxigen Environmental Unlimited Company","0818 694 449","https://www.oxigen.ie/"
"Wicklow","Panda Green","01 8298992","https://www.panda.ie/household/"
"Wicklow","Ray Whelan Limited","059 9147 683","https://www.raywhelan.ie"
"Wicklow","Thorntons Recycling","01 6235 142","https://www.thorntons-recycling.ie"
"Wicklow","Advanced Waste Recycling","01 401 1931","https://www.advancedwaste.ie/"
"Wicklow","AES Recycling","045 580 060","https://www.aesrecycling.ie/"
"Wicklow","Key Waste Management Ltd.","01 4299 848","https://www.keywaste.ie"
